,$h_f$,$k_f$,$l_f$,$h_s$,$k_s$,$l_s$,$A$ (Å$^2$),$\epsilon$,$E_{bd}$ $(J/m^2)$,$E_{el}$ $(eV/atom)$,$u_{f1}$,$v_{f1}$,$w_{f1}$,$u_{f2}$,$v_{f2}$,$w_{f2}$,$u_{s1}$,$v_{s1}$,$w_{s1}$,$u_{s2}$,$v_{s2}$,$w_{s2}$,$T$,$i_m$,$i_t$
6,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,-3.270763607509707,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '3_Ni_P4/mmm_1')",1,2
8,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,-2.7905949931015184,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '2_NiS_Pmm2_2')",1,4
9,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,-2.095167483965689,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '3_Ni_P4/mmm_1')",1,5
5,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,-2.0424699038452183,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '2_NiS_Pmm2_2')",1,1
4,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,-2.041898167073034,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '1_NiS_Pmm2_2')",1,0
12,-1,0,1,1,1,0,23.086702746166615,0.009699832831421727,-1.9155636024102973,3.1153361002604164e-05,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1/3,-1/3,2/3,"('1_Li2S_Pmmm_3', '3_Ni_Pmma_2')",2,2
7,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,-1.804341538230178,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '1_NiS_Pmm2_2')",1,3
1,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,-1.4483216134532677,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '2_Ni_Pmmm_1')",0,1
11,-1,0,1,1,1,0,23.086702746166615,0.009699832831421727,-1.3313766464425334,3.1153361002604164e-05,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1/3,-1/3,2/3,"('1_Li2S_Pmmm_3', '2_Ni_Pmmm_1')",2,1
0,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,-1.302274924390228,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '1_Ni_Pmmm_1')",0,0
3,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,-0.8395710504627011,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '4_Ni_Pmmm_1')",0,3
2,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,-0.6127459943317121,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '3_S_Pmmn_2')",0,2
10,-1,0,1,1,1,0,23.086702746166615,0.009699832831421727,-0.41823739621346323,3.1153361002604164e-05,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1/3,-1/3,2/3,"('1_Li2S_Pmmm_3', '1_S_Pmma_2')",2,0
